date_time,day,home_team,away_team,stadium
14/06/2004 14:10,Monday,Melbourne,Collingwood,MCG
18/06/2004 19:40,Friday,St Kilda,Hawthorn,Docklands
19/06/2004 14:10,Saturday,Geelong,Brisbane Lions,Kardinia
19/06/2004 19:10,Saturday,Richmond,Carlton,Docklands
19/06/2004 20:40,Saturday,Fremantle,Port Adelaide,Subiaco
20/06/2004 13:10,Sunday,North Melbourne,West Coast,Manuka
20/06/2004 14:10,Sunday,Essendon,Melbourne,MCG
20/06/2004 15:10,Sunday,Adelaide,Western Bulldogs,Footy Park
26/06/2004 19:20,Saturday,Sydney,Collingwood,Homebush
2/07/2004 19:40,Friday,Essendon,North Melbourne,Docklands
3/07/2004 14:10,Saturday,Collingwood,Hawthorn,MCG
3/07/2004 14:10,Saturday,Carlton,Sydney,Princes Park
3/07/2004 19:40,Saturday,West Coast,Geelong,Subiaco
3/07/2004 19:40,Saturday,Brisbane Lions,Richmond,Gabba
4/07/2004 13:10,Sunday,St Kilda,Port Adelaide,Launceston
4/07/2004 14:10,Sunday,Western Bulldogs,Fremantle,Docklands
4/07/2004 15:10,Sunday,Adelaide,Melbourne,Footy Park
9/07/2004 19:40,Friday,Collingwood,Geelong,Docklands
10/07/2004 13:10,Saturday,Hawthorn,West Coast,Launceston
10/07/2004 14:10,Saturday,Richmond,Essendon,MCG
10/07/2004 19:10,Saturday,Sydney,Adelaide,SCG
10/07/2004 19:40,Saturday,Fremantle,North Melbourne,Subiaco
11/07/2004 13:10,Sunday,Brisbane Lions,Western Bulldogs,Gabba
11/07/2004 14:10,Sunday,Melbourne,St Kilda,MCG
11/07/2004 15:10,Sunday,Port Adelaide,Carlton,Footy Park
16/07/2004 20:40,Friday,West Coast,Essendon,Subiaco
17/07/2004 14:10,Saturday,Carlton,North Melbourne,Princes Park
17/07/2004 14:10,Saturday,Richmond,St Kilda,Docklands
17/07/2004 19:10,Saturday,Collingwood,Brisbane Lions,MCG
