Stadium,BOM_station_number,Year,Month,Day,Rainfall_amount
Adelaide Oval,23011,2004,6,9,8.4
Adelaide Oval,23011,2004,6,10,0.4
Adelaide Oval,23011,2004,6,11,0
Adelaide Oval,23011,2004,6,12,8.4
Adelaide Oval,23011,2004,6,13,5
Adelaide Oval,23011,2004,6,14,11.4
Adelaide Oval,23011,2004,6,15,7.4
Adelaide Oval,23011,2004,6,16,2.2
Adelaide Oval,23011,2004,6,17,0.4
Adelaide Oval,23011,2004,6,18,7.4
Adelaide Oval,23011,2004,6,19,7.4
Adelaide Oval,23011,2004,6,20,4
Adelaide Oval,23011,2004,6,21,2
Adelaide Oval,23011,2004,6,22,0
Adelaide Oval,23011,2004,6,23,0
Adelaide Oval,23011,2004,6,24,6
Adelaide Oval,23011,2004,6,25,12
Adelaide Oval,23011,2004,6,26,7.2
Adelaide Oval,23011,2004,6,27,0
Adelaide Oval,23011,2004,6,28,0
Adelaide Oval,23011,2004,6,29,7
Adelaide Oval,23011,2004,6,30,4.6
Adelaide Oval,23011,2004,7,1,3.8
Adelaide Oval,23011,2004,7,2,1.2
Adelaide Oval,23011,2004,7,3,0
Adelaide Oval,23011,2004,7,4,2.6
Adelaide Oval,23011,2004,7,5,1.6
Adelaide Oval,23011,2004,7,6,1
Adelaide Oval,23011,2004,7,7,1
Adelaide Oval,23011,2004,7,8,0
Adelaide Oval,23011,2004,7,9,5.8
Adelaide Oval,23011,2004,7,10,0
Adelaide Oval,23011,2004,7,11,
Adelaide Oval,23011,2004,7,12,5
Adelaide Oval,23011,2004,7,13,3.8
Adelaide Oval,23011,2004,7,14,0
Adelaide Oval,23011,2004,7,15,0.2
Adelaide Oval,23011,2004,7,16,0.2
Adelaide Oval,23011,2004,7,17,
Adelaide Oval,23011,2004,7,18,
Adelaide Oval,23011,2004,7,19,5.2
Adelaide Oval,23011,2004,7,20,0
Adelaide Oval,23011,2004,7,21,0
Adelaide Oval,23011,2004,7,22,0
Adelaide Oval,23011,2004,7,23,6
Adelaide Oval,23011,2004,7,24,19.4
Adelaide Oval,23011,2004,7,25,
Adelaide Oval,23011,2004,7,26,1.8
Adelaide Oval,23011,2004,7,27,0.4
Adelaide Oval,23011,2004,7,28,1
Adelaide Oval,23011,2004,7,29,3.4
Adelaide Oval,23011,2004,7,30,0.4
Adelaide Oval,23011,2004,7,31,0
Adelaide Oval,23011,2004,8,1,10
Adelaide Oval,23011,2004,8,2,1.8
Adelaide Oval,23011,2004,8,3,16.6
Adelaide Oval,23011,2004,8,4,21.4
Adelaide Oval,23011,2004,8,5,6.4
Adelaide Oval,23011,2004,8,6,2
Adelaide Oval,23011,2004,8,7,
Adelaide Oval,23011,2004,8,8,
Adelaide Oval,23011,2004,8,9,1
Adelaide Oval,23011,2004,8,10,0.4
Adelaide Oval,23011,2004,8,11,0
Adelaide Oval,23011,2004,8,12,0
Adelaide Oval,23011,2004,8,13,1
Adelaide Oval,23011,2004,8,14,6.6
Adelaide Oval,23011,2004,8,15,0
Adelaide Oval,23011,2004,8,16,0
Adelaide Oval,23011,2004,8,17,0.4
Adelaide Oval,23011,2004,8,18,0
Adelaide Oval,23011,2004,8,19,0
Adelaide Oval,23011,2004,8,20,0
Adelaide Oval,23011,2004,8,21,0
Adelaide Oval,23011,2004,8,22,0
Adelaide Oval,23011,2004,8,23,0
Adelaide Oval,23011,2004,8,24,0
Adelaide Oval,23011,2004,8,25,0
Adelaide Oval,23011,2004,8,26,2.4
Adelaide Oval,23011,2004,8,27,0
Adelaide Oval,23011,2004,8,28,0
Adelaide Oval,23011,2004,8,29,
Adelaide Oval,23011,2004,8,30,7
Adelaide Oval,23011,2004,8,31,0.8
Adelaide Oval,23011,2004,9,1,0
Adelaide Oval,23011,2004,9,2,0
Adelaide Oval,23011,2004,9,3,1
Adelaide Oval,23011,2004,9,4,0.8
Adelaide Oval,23011,2004,9,5,0
Adelaide Oval,23011,2004,9,6,0
Adelaide Oval,23011,2004,9,7,10
Adelaide Oval,23011,2004,9,8,12
Adelaide Oval,23011,2004,9,9,4.2
Adelaide Oval,23011,2004,9,10,1.4
Adelaide Oval,23011,2004,9,11,
Adelaide Oval,23011,2004,9,12,
Adelaide Oval,23011,2004,9,13,8
Adelaide Oval,23011,2004,9,14,0.4
Adelaide Oval,23011,2004,9,15,0
Adelaide Oval,23011,2004,9,16,0
Adelaide Oval,23011,2004,9,17,0
Adelaide Oval,23011,2004,9,18,0
Adelaide Oval,23011,2004,9,19,0
Adelaide Oval,23011,2004,9,20,0
Adelaide Oval,23011,2004,9,21,0
Adelaide Oval,23011,2004,9,22,0
Adelaide Oval,23011,2004,9,23,4
Adelaide Oval,23011,2004,9,24,0.4
Adelaide Oval,23011,2004,9,25,0
Adelaide Oval,23011,2004,9,26,0
Adelaide Oval,23011,2004,9,27,
Adelaide Oval,23011,2004,9,28,1
Adelaide Oval,23011,2004,9,29,7
Adelaide Oval,23011,2004,9,30,0
Adelaide Oval,23011,2004,10,1,0
Adelaide Oval,23011,2004,10,2,0
Adelaide Oval,23011,2004,10,3,0
Adelaide Oval,23011,2004,10,4,0
Adelaide Oval,23011,2004,10,5,0
Adelaide Oval,23011,2004,10,6,0
Adelaide Oval,23011,2004,10,7,0
Adelaide Oval,23011,2004,10,8,0
Adelaide Oval,23011,2004,10,9,0
Adelaide Oval,23011,2004,10,10,0
Adelaide Oval,23011,2004,10,11,0
