perc_filled,home_members,away_members,home_position,away_position,rnd_percentage,GF,PF,QF/SF,EF,team_closeness,sum_of_positions,total_members,western_derby,adelaide_derby,anzac_day,population,light_rain,moderate_rain,heavy_rain,fri_night,other,sat_arvo,sat_night,sat_twilight,sun_arvo,sun_twilight,Adelaide Oval,Bellerive Oval,Carrara,Docklands,Football Park,Gabba,Kardinia Park,MCG,Manuka Oval,Marrara Oval,Perth Stadium,SCG,Stadium Australia,Subiaco,Sydney Showground,York Park
89.30416666666666,25.243,60.934,6.0,5.0,95.65217391304348,0,0,0,0,1.0,11.0,86.177,0,0,0,24.99,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74.26363636363638,63.818,55.639,8.0,14.0,95.65217391304348,0,0,0,0,6.0,22.0,119.457,0,0,0,24.99,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46.2748940254339,75.507,54.386,3.0,9.0,95.65217391304348,0,0,0,0,6.0,12.0,129.893,0,0,0,24.99,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
76.40566264096617,100.726,79.319,1.0,11.0,95.65217391304348,0,0,0,0,10.0,12.0,180.045,0,0,0,24.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51.41166120131168,44.275,60.934,7.0,6.0,91.30434782608695,0,0,0,0,1.0,13.0,105.209,0,0,0,24.99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66.71333333333334,55.639,56.005,13.0,18.0,91.30434782608695,0,0,0,0,5.0,31.0,111.644,0,0,0,24.99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50.670140776426045,40.789,43.246,10.0,14.0,91.30434782608695,0,0,0,0,4.0,24.0,84.035,0,0,0,24.99,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62.59021125836505,75.507,24.867,5.0,16.0,91.30434782608695,0,0,0,0,11.0,21.0,100.374,0,0,0,24.99,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
97.77859778597788,25.243,64.739,3.0,12.0,91.30434782608695,0,0,0,0,9.0,15.0,89.982,0,0,0,24.99,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
60.71701845734655,54.386,80.29,8.0,2.0,91.30434782608695,0,0,0,0,6.0,10.0,134.676,0,0,0,24.99,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72.408,12.108,100.726,17.0,1.0,91.30434782608695,0,0,0,0,16.0,18.0,112.834,0,0,0,24.99,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59.51471646804767,80.302,63.818,4.0,9.0,91.30434782608695,0,0,0,0,5.0,13.0,144.12,0,0,0,24.99,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70.26262020357285,79.319,46.301,11.0,15.0,91.30434782608695,0,0,0,0,4.0,26.0,125.62,0,0,0,24.99,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23.06646404862833,44.275,12.108,4.0,17.0,86.95652173913044,0,0,0,0,13.0,21.0,56.383,0,0,0,24.99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
95.625,80.29,55.639,2.0,13.0,86.95652173913044,0,0,0,0,11.0,15.0,135.929,1,0,0,24.99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31.298854668491202,56.005,25.243,18.0,3.0,86.95652173913044,0,0,0,0,15.0,21.0,81.248,0,0,0,24.99,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38.892533788216774,46.301,43.246,15.0,14.0,86.95652173913044,0,0,0,0,1.0,29.0,89.547,0,0,0,24.99,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81.74583333333331,60.934,75.507,8.0,6.0,86.95652173913044,0,0,0,0,2.0,14.0,136.441,0,0,0,24.99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94.01675904671256,64.739,54.386,12.0,7.0,86.95652173913044,0,0,0,0,5.0,19.0,119.125,0,1,0,24.99,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.12261580381472,24.867,40.789,16.0,10.0,86.95652173913044,0,0,0,0,6.0,26.0,65.656,0,0,0,24.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68.84047828521155,80.302,79.319,5.0,11.0,86.95652173913044,0,0,0,0,6.0,16.0,159.621,0,0,0,24.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
